"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.427480916030534,1.10429838729104,0.00768461248604071,-0.845610609312016,-0.0483823130538297,100754.411947747,44109.8735750299,46648.1946580043,11331.503869166,78545.0724735053,122963.751421989,1947,72000,51
0.435114503816794,1.11178680232551,0.00750470955609257,-0.842583420447289,-0.0481442636253901,101236.263903508,44388.7478672769,46937.6596035628,16128.1900290209,69625.5923108086,132846.935496207,1948,64400,51
0.442748091603053,1.12078537170364,0.00745901930285942,-0.838038334047295,-0.0492130312956714,101693.412377645,44727.6165221846,47275.0977782447,16543.1374781849,69269.4587291073,134117.366026182,1949,38200,50
0.450381679389313,1.12899432101261,0.00713796224645736,-0.835535530362179,-0.0501362689435227,102015.016695759,45027.8238161735,47570.4260529566,12049.1044772313,78399.2058744251,125630.827517093,1950,83300,50
0.458015267175573,1.13863321943525,0.00677413992632695,-0.832898742191709,-0.0528673136416966,102157.415280245,45377.1108436599,47893.1916036824,12425.5313965093,77803.8212543154,126511.009306175,1951,51900,50
0.465648854961832,1.15039948306257,0.00641129698766811,-0.828574934264835,-0.0577002986130012,102208.840926066,45808.2186971884,48276.7554696884,14692.0600436579,73412.932381797,131004.749470336,1952,44100,50
0.473282442748092,1.16247676569499,0.00591056965930357,-0.826813371635021,-0.0634533086063681,102004.541600787,46235.1901498259,48639.4106236414,12908.6663635329,76704.0204398188,127305.062761755,1953,32600,50
0.480916030534351,1.17490649347768,0.00553628881044904,-0.82452941003528,-0.0678863791248238,102022.476527068,46678.6923209209,49036.1294152444,78170.5962496889,-51189.0767723444,255234.02982648,1954,44700,50
0.488549618320611,1.18719566187964,0.00540517337777881,-0.822050503869736,-0.0714885582564367,102156.903338494,47119.1824471197,49440.3624196687,117800.088889793,-128727.028261117,333040.834938105,1955,56600,50
0.49618320610687,1.20041246119235,0.00538500743246314,-0.817826138377117,-0.0737664429058427,102595.555519756,47603.1736789899,49907.6602157593,19290.0260487048,64787.7992034553,140403.311836057,1956,30900,50
0.50381679389313,1.21481186418878,0.00539149679100267,-0.812337198966473,-0.0787030146127924,102830.37590695,48133.2195123159,50393.1857969454,6347.03815876007,90390.4097072788,115270.342106621,1957,93900,50
0.511450381679389,1.22940980153156,0.00593112039185736,-0.801354180015334,-0.0852501972198824,103217.431766453,48699.9118695115,50909.3648378073,5970.32098260492,91515.817664404,114919.045868503,1958,48900,50
0.519083969465649,1.24468393850943,0.00662631067446235,-0.792051806970127,-0.0932810527769502,103364.285096513,49279.854775134,51418.4257732379,5842.55813085676,91913.0815824524,114815.488610574,1959,49500,50
