"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.33587786259542,1.27204407102518,-0.00136320870311671,-0.531452790841466,0.230724990932471,308625.333378132,74855.1651532829,89465.0111880972,30286.3089911647,249265.258530797,367985.408225466,1935,92300,102
0.343511450381679,1.26789457092393,-0.00130762509202968,-0.545067605388304,0.211673181793295,293077.685386478,74456.5213569487,88018.1939551365,27919.3358471355,238356.792653814,347798.578119142,1936,231000,103
0.351145038167939,1.26534170574058,-0.00121306514492663,-0.549317730796825,0.209282263449326,290510.822739192,74277.0541419997,87676.8314117558,27680.2236427138,236258.581315459,344763.064162926,1937,70900,104
0.358778625954198,1.26302954973303,-0.00110708764074892,-0.55241741065603,0.209651481028809,289916.912976721,74128.1281087131,87502.474992379,27535.2372259715,235948.83970805,343884.986245392,1938,57900,105
0.366412213740458,1.26069071460329,-0.0010104645418929,-0.555063050442604,0.21119477507824,290140.983057827,73985.335556785,87391.3277900272,27490.618043112,236260.361780581,344021.604335074,1939,66400,106
0.374045801526718,1.25856055921545,-0.000906233110974051,-0.557905843287319,0.21180364317848,289760.613048206,73848.9799598556,87243.3166565161,27544.0522252197,235775.262698486,343745.963397927,1940,121000,107
0.381679389312977,1.25636733870705,-0.000873831084310983,-0.560401141105792,0.211750741772837,289053.48112949,73711.9945305761,87070.6608117989,23897.2338566587,242215.763440308,335891.198818672,1941,52000,108
0.389312977099237,1.25377657126305,-0.000867370724875749,-0.563340968358639,0.211418014558556,288058.232839398,73549.8045328278,86854.9051760438,23803.0247805624,241405.161546382,334711.304132415,1942,52400,109
0.396946564885496,1.25073074302716,-0.000905229450919327,-0.566359295309752,0.211076591608803,287020.658326838,73364.0916375274,86614.4204943098,23125.2193842996,241696.061199023,332345.255454652,1943,63400,110
0.404580152671756,1.24754960364751,-0.0010397301351806,-0.569132110826039,0.206874689330813,283724.995121462,73166.586433998,86200.8595644771,20459.2074745294,243625.685319152,323824.304923772,1944,105000,111
0.412213740458015,1.24462382688284,-0.00114346201887982,-0.570772814082956,0.204888811011676,282038.243426706,72998.6080007936,85927.345461227,20263.7042454599,242322.112912234,321754.373941179,1945,102000,112
0.419847328244275,1.24153743299706,-0.00122217340842382,-0.575615548870989,0.196543921466138,275961.627844043,72775.4863292081,85293.0743909887,19536.8980380812,237670.011319773,314253.244368313,1946,62200,113
